track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,spotify_url
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779,6,14,8,2,4,84,A,Minor,43,14,74,1,0,19,8,"https://open.spotify.com/search/Lilith%20(feat.%20SUGA%20of%20BTS)%20(Diablo%20IV%20Anthem)%20Halsey,%20Suga"
69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987,39,14,48,2,3,93,G#,Major,79,58,62,11,0,11,23,"https://open.spotify.com/search/69%20Nicky%20Jam,%20Feid"
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21,1305,34,115010040,29,26,43,5,44,91,G,Major,82,47,62,10,0,10,15,"https://open.spotify.com/search/Niï¿½ï¿½a%20Bo%20Sean%20Paul,%20Feid"
Search & Rescue,Drake,1,2023,4,7,2066,6,175097833,58,70,43,0,182,142,A#,Minor,82,54,44,6,0,33,7,https://open.spotify.com/search/Search%20&%20Rescue%20Drake
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,0,57089066,34,2,33,0,1,126,C#,Major,78,20,70,1,0,16,4,"https://open.spotify.com/search/AMERICA%20HAS%20A%20PROBLEM%20(feat.%20Kendrick%20Lamar)%20Kendrick%20Lamar,%20Beyoncï¿"
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797,51,43,38,10,1,97,A#,Major,73,10,44,26,0,16,8,https://open.spotify.com/search/Lavender%20Haze%20Taylor%20Swift
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32761689,3,10,3,0,0,101,F,Major,92,59,51,41,51,26,8,"https://open.spotify.com/search/Link%20Up%20(Metro%20Boomin%20&%20Don%20Toliver,%20Wizkid%20feat.%20BEAM%20&%20Toian)%20-%20Spider-Verse%20Remix%20(Spider-Man:%20Across%20the%20Spider-Verse%20)%20WizKid,%20Toian,%20Metro%20Boomin,%20Don%20Toliver,%20Beam"
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053,34,65,43,6,2,98,G,Minor,80,23,48,14,0,6,5,https://open.spotify.com/search/Efecto%20Bad%20Bunny
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328,8,57,76,2,49,154,F#,Major,59,63,89,18,0,80,9,https://open.spotify.com/search/Erro%20Gostoso%20-%20Ao%20Vivo%20Simone%20Mendes
Cupido,Tini,1,2023,2,14,1240,24,217672943,51,29,63,4,54,120,A,Major,91,63,58,52,0,31,22,https://open.spotify.com/search/Cupido%20Tini
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829,72,27,47,0,0,150,B,Major,49,4,55,7,0,6,3,https://open.spotify.com/search/Just%20Wanna%20Rock%20Lil%20Uzi%20Vert
Unstoppable,Sia,1,2016,1,21,7681,13,939844851,119,66,"1,145",2,,174,A,Major,47,27,78,11,0,10,8,https://open.spotify.com/search/Unstoppable%20Sia
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358,69,100,154,20,438,202,A#,Major,34,25,51,69,0,18,4,https://open.spotify.com/search/Until%20I%20Found%20You%20Stephen%20Sanchez
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020,84,84,42,0,23,153,B,Minor,56,42,52,5,0,36,24,"https://open.spotify.com/search/Rich%20Flex%20Drake,%2021%20Savage"
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294,258,87,657,22,9,142,F,Major,60,13,37,58,0,13,3,https://open.spotify.com/search/Easy%20On%20Me%20Adele
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339,7,2,30,1,11,108,A,Minor,84,55,47,26,0,20,64,"https://open.spotify.com/search/Cartï¿½ï¿½o%20B%20MC%20Caverinha,%20KayBlack"
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653,3,3,6,0,0,143,B,Major,83,25,69,4,0,23,12,"https://open.spotify.com/search/Danger%20(Spider)%20(Offset%20&%20JID)%20Offset,%20JID"
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,845,2,145458418,12,57,47,1,33,108,D,Major,67,55,67,60,0,80,5,https://open.spotify.com/search/Oi%20Balde%20-%20Ao%20Vivo%20Zï¿½ï¿½%20Neto%20&%20Crist
The Real Slim Shady,Eminem,1,2000,1,1,20763,27,1424589568,81,53,"3,271",1,17,104,F,Minor,95,78,66,3,0,4,6,https://open.spotify.com/search/The%20Real%20Slim%20Shady%20Eminem
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117,41,22,56,4,84,93,F#,Minor,84,96,79,43,0,18,11,"https://open.spotify.com/search/MERCHO%20Migrantes,%20LiL%20CaKe,%20Nico%20Valdi"
The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686,3,79,21,1,54,105,F#,Minor,65,46,53,16,0,9,5,https://open.spotify.com/search/The%20Color%20Violet%20Tory%20Lanez
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741,109,42,158,3,31,170,G#,Major,44,27,32,89,0,14,5,https://open.spotify.com/search/Glimpse%20of%20Us%20Joji
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624,9,13,11,0,1,178,C#,Minor,62,56,66,18,0,12,5,"https://open.spotify.com/search/Mejor%20Que%20Yo%20Mambo%20Kingz,%20DJ%20Luian,%20Anuel%20Aa"
Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489,37,3,27,0,50,176,F#,Minor,50,44,76,10,0,32,5,https://open.spotify.com/search/Curtains%20Ed%20Sheeran
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115,14,110,9,0,49,104,E,Minor,80,38,88,11,0,11,5,"https://open.spotify.com/search/UNFORGIVEN%20(feat.%20Nile%20Rodgers)%20Nile%20Rodgers,%20LE%20SSERAFIM"
Haegeum,Agust D,1,2023,4,21,244,12,118810253,6,84,10,2,9,85,G,Major,70,83,84,31,0,47,30,https://open.spotify.com/search/Haegeum%20Agust%20D
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,385,4,77233241,17,7,41,1,29,117,F#,Minor,77,69,58,39,0,26,5,"https://open.spotify.com/search/Conexï¿½ï¿½es%20de%20Mï¿½ï¿½fia%20(feat.%20Rich%20%20Rich%20The%20Kid,%20Matuï¿"
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629,15,26,30,6,0,80,,Major,52,57,48,86,0,15,39,https://open.spotify.com/search/MIENTRAS%20ME%20CURO%20DEL%20CORA%20Karol%20G
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907,46,5,51,0,20,98,F,Major,44,36,41,50,0,38,5,https://open.spotify.com/search/Never%20Felt%20So%20Alone%20Labrinth
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266624541,45,80,53,8,4,178,C#,Minor,79,58,78,34,0,11,25,"https://open.spotify.com/search/X%20SI%20VOLVEMOS%20Karol%20G,%20Romeo%20Santos"
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992,67,55,48,0,6,148,A,Major,51,27,33,48,0,22,3,https://open.spotify.com/search/ceilings%20Lizzy%20McAlpine
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964,15,93,30,0,320,120,D,Major,77,94,66,65,0,38,3,https://open.spotify.com/search/Cupid%20Fifty%20Fifty
I AM,IVE,1,2023,4,10,366,15,123132751,16,102,7,0,55,122,E,Minor,68,38,88,1,0,8,5,https://open.spotify.com/search/I%20AM%20IVE
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,1997,1,1,472,2,103762518,0,0,6,0,0,144,F,Major,74,75,73,42,0,9,4,https://open.spotify.com/search/Cupid%20ï¿½ï¿½ï¿½%20Twin%20Ver.%20(FIFTY%20FIFTY)%20ï¿½ï¿½ï¿½%20Spe%20sped%20up%208282
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075,8,14,12,2,33,96,D,Major,93,47,47,33,0,10,36,"https://open.spotify.com/search/Shorty%20Party%20Cartel%20De%20Santa,%20La%20Kelly"
Super,SEVENTEEN,1,2023,4,24,271,12,91221625,16,103,9,0,55,137,G#,Major,77,35,88,16,0,17,9,https://open.spotify.com/search/Super%20SEVENTEEN
Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915,21,4,13,0,4,121,F#,Minor,94,71,61,12,0,53,42,https://open.spotify.com/search/Slut%20Me%20Out%20NLE%20Choppa
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277,36,65,28,0,0,119,A,Minor,60,10,57,1,0,50,3,"https://open.spotify.com/search/Double%20Fantasy%20(with%20Future)%20The%20Weeknd,%20Future"
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616,26,6,19,0,5,96,D,Major,72,40,47,71,0,13,4,https://open.spotify.com/search/All%20Of%20The%20Girls%20You%20Loved%20Before%20Taylor%20Swift
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467,114,104,147,11,20,111,C#,Major,87,53,52,66,1,11,5,https://open.spotify.com/search/PROVENZA%20Karol%20G
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946,0,0,0,0,0,148,A,Major,90,74,68,14,0,10,19,"https://open.spotify.com/search/Princess%20Diana%20(with%20Nicki%20Minaj)%20Nicki%20Minaj,%20Ice%20Spice"
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338,4,64,4,2,37,182,A,Major,57,80,59,8,0,6,5,"https://open.spotify.com/search/Di%20Que%20Si%20Grupo%20Marca%20Registrada,%20Grupo%20Frontera"
Shivers,Ed Sheeran,1,2021,9,9,10147,30,1302184087,234,71,543,18,,141,D,Major,79,82,86,28,0,4,9,https://open.spotify.com/search/Shivers%20Ed%20Sheeran
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978,8,84,5,1,4,145,E,Minor,76,80,81,19,0,6,9,"https://open.spotify.com/search/Igualito%20a%20Mi%20Apï¿%20Fuerza%20Regida,%20Peso%20Pluma"
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644,16,90,10,0,64,110,B,Minor,76,26,70,1,0,41,6,"https://open.spotify.com/search/Shoong!%20(feat.%20LISA%20of%20BLACKPINK)%20TAEYANG,%20Lisa"
Komang,Raim Laode,1,2022,8,16,158,4,137123880,5,6,1,1,18,134,G,Major,70,35,41,41,0,10,3,https://open.spotify.com/search/Komang%20Raim%20Laode
DESPECHï¿,ROSALï¿½,1,2022,7,28,7613,33,782369383,180,90,422,15,55,130,G,Major,92,78,62,18,0,6,10,https://open.spotify.com/search/DESPECHï¿%20ROSALï¿½
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952,142,23,127,3,16,145,A#,Major,84,88,53,35,0,8,7,https://open.spotify.com/search/Made%20You%20Look%20Meghan%20Trainor
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255,0,0,21,0,0,130,B,Minor,69,36,90,1,10,15,4,"https://open.spotify.com/search/Watch%20This%20-%20ARIZONATEARS%20Pluggnb%20Remix%20sped%20up%20nightcore,%20ARIZONATEARS,%20Lil%20Uzi%20Vert"
No Se Va,Grupo Frontera,1,2022,4,28,924,18,404887295,17,80,22,9,38,173,,Major,59,69,53,12,0,23,3,https://open.spotify.com/search/No%20Se%20Va%20Grupo%20Frontera
Punto G,Quevedo,1,2022,11,4,1985,35,381161027,34,26,37,5,1,92,B,Minor,75,55,76,25,0,10,15,https://open.spotify.com/search/Punto%20G%20Quevedo
Lovers Rock,TV Girl,1,2014,6,5,6339,13,466231982,3,1,36,1,37,105,F,Minor,56,57,87,0,1,10,4,https://open.spotify.com/search/Lovers%20Rock%20TV%20Girl
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552,18,78,24,0,30,175,G,Minor,59,15,64,43,90,12,10,https://open.spotify.com/search/METAMORPHOSIS%20INTERWORLD
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704,17,13,27,0,43,120,G,Minor,80,33,70,22,0,9,4,"https://open.spotify.com/search/Mami%20Chula%20Quevedo,%20Jhayco"
En Paris,"El Chachito, Junior H",2,2022,12,24,406,5,198275403,3,31,2,1,0,139,D#,Minor,70,77,48,37,0,12,5,"https://open.spotify.com/search/En%20Paris%20El%20Chachito,%20Junior%20H"
Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,168448603,4,71,16,1,9,132,,Minor,59,56,82,12,0,12,6,https://open.spotify.com/search/Set%20Me%20Free%20Pt.2%20Jimin
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769,30,70,142,0,27,114,A#,Major,32,17,74,14,0,17,3,"https://open.spotify.com/search/I%20Was%20Never%20There%20The%20Weeknd,%20Gesaffelstein"
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215,5,9,5,0,0,145,B,Minor,54,19,48,36,0,37,5,"https://open.spotify.com/search/Don't%20ever%20say%20love%20me%20(feat.%20RM%20of%20BTS)%20RM,%20Colde"
Shut Down,BLACKPINK,1,2022,9,16,1524,17,482175240,53,120,62,0,2,110,,Major,82,67,69,0,0,18,4,https://open.spotify.com/search/Shut%20Down%20BLACKPINK
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600,21,55,32,3,0,94,G#,Major,89,61,66,17,0,36,16,"https://open.spotify.com/search/Gato%20de%20Noche%20Nengo%20Flow,%20Bad%20Bunny"
Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467,151,107,801,1,105,134,C#,Major,45,17,60,21,0,33,4,https://open.spotify.com/search/Call%20Out%20My%20Name%20The%20Weeknd
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354,4,72,5,0,5,120,G,Major,62,32,76,0,0,39,4,https://open.spotify.com/search/Like%20Crazy%20(English%20Version)%20Jimin
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,200,4,90025258,8,77,2,1,1,123,G,Minor,70,86,68,24,0,11,4,"https://open.spotify.com/search/Rosa%20Pastel%20Jasiel%20Nuï¿½ï¿½ez,%20Peso%20P"
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649,156,35,110,19,0,131,A#,Major,77,84,71,35,0,15,4,"https://open.spotify.com/search/Sunroof%20Nicky%20Youre,%20Dazy"
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958,247,54,"5,567",1,51,171,D,Major,70,6,73,1,0,36,26,https://open.spotify.com/search/Lose%20Yourself%20-%20Soundtrack%20Version%20Eminem
Superman,"Eminem, Dina Rae",2,2002,5,26,7615,14,655466831,18,51,"1,005",0,0,130,E,Minor,80,64,76,2,0,20,6,"https://open.spotify.com/search/Superman%20Eminem,%20Dina%20Rae"
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671,10,41,20,0,1,94,B,Major,82,53,67,34,0,9,8,"https://open.spotify.com/search/Mas%20Rica%20Que%20Ayer%20Mambo%20Kingz,%20DJ%20Luian,%20Anuel%20Aa"
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024,4,45,11,2,24,89,G,Minor,73,44,57,39,0,32,6,"https://open.spotify.com/search/People%20Pt.2%20(feat.%20IU)%20IU,%20Agust%20D"
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995,20,8,15,0,6,87,F,Minor,65,71,56,4,0,15,20,https://open.spotify.com/search/REMIX%20EXCLUSIVO%20Feid
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613,11,3,18,1,1,124,B,Minor,72,79,78,55,0,15,30,"https://open.spotify.com/search/Arcï¿½ï¿½ngel:%20Bzrp%20Music%20Sessions,%20Vol%20Arcangel,%20Bizarrap"
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350,23,0,18,0,33,78,G#,Major,71,80,65,51,0,22,32,"https://open.spotify.com/search/DOGTOOTH%20Tyler,%20The%20Creator"
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,26,325592432,190,104,147,18,63,120,G#,Major,70,70,79,7,0,18,10,"https://open.spotify.com/search/10:35%20Tiï¿½ï¿½sto,%20Tate%20M"
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276,8,1,13,0,0,96,F#,Minor,48,50,80,40,0,37,20,"https://open.spotify.com/search/SORRY%20NOT%20SORRY%20Tyler,%20The%20Creator"
HAPPY,NF,1,2023,3,25,660,0,52722996,22,7,11,0,78,106,G,Major,73,22,86,31,0,12,4,https://open.spotify.com/search/HAPPY%20NF
La Bebe,Yng Lvcas,1,2021,12,24,489,17,191945597,4,11,5,1,2,170,D,Minor,78,75,46,62,0,12,35,https://open.spotify.com/search/La%20Bebe%20Yng%20Lvcas
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503,16,15,5,0,1,134,B,Minor,67,11,76,8,47,30,7,"https://open.spotify.com/search/I%20Know%20-%20PR1SVX%20Edit%20Kanii,%20PR1ISVX"
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613,166,42,199,16,58,115,A#,Major,71,90,73,30,0,11,5,https://open.spotify.com/search/Late%20Night%20Talking%20Harry%20Styles
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9,993,4,267789608,30,84,88,1,28,130,F#,Major,74,79,87,45,0,30,3,https://open.spotify.com/search/Leï¿½%20Marï¿½ï¿½lia%20Mendo
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20,9161,5,1221813483,240,98,468,3,10,118,,Major,65,63,79,3,0,10,3,"https://open.spotify.com/search/Save%20Your%20Tears%20(with%20Ariana%20Grande)%20(Remix)%20Ariana%20Grande,%20The%20Weeknd"
Something in the Orange,Zach Bryan,1,2022,4,22,3282,12,449701773,67,84,46,16,117,110,G,Major,59,22,38,42,0,12,3,https://open.spotify.com/search/Something%20in%20the%20Orange%20Zach%20Bryan
VOID,Melanie Martinez,1,2023,3,29,596,0,67070410,29,9,12,0,52,100,A,Major,72,42,66,18,4,19,4,https://open.spotify.com/search/VOID%20Melanie%20Martinez
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601,5,48,2,1,9,142,G,Minor,70,76,79,26,0,11,7,"https://open.spotify.com/search/Dijeron%20Que%20No%20La%20Iba%20Lograr%20Fuerza%20Regida,%20Chino%20Pacas"
Midnight Rain,Taylor Swift,1,2022,10,21,2612,4,433356509,19,29,21,0,0,140,,Major,64,18,37,72,0,12,7,https://open.spotify.com/search/Midnight%20Rain%20Taylor%20Swift
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767,81,27,66,9,444,116,G,Major,90,96,73,62,0,9,4,https://open.spotify.com/search/If%20We%20Ever%20Broke%20Up%20Mae%20Stephens
You Proof,Morgan Wallen,1,2022,5,13,2128,9,367814306,37,88,9,0,14,120,A,Major,73,64,85,25,0,61,3,https://open.spotify.com/search/You%20Proof%20Morgan%20Wallen
LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37,477033549,28,57,43,8,85,92,F,Minor,76,46,79,31,0,7,6,"https://open.spotify.com/search/LA%20INOCENTE%20Feid,%20Mora"
Malas Decisiones,Kenia OS,1,2022,10,26,542,2,156214700,23,2,21,0,0,110,G#,Minor,81,64,79,5,0,31,3,https://open.spotify.com/search/Malas%20Decisiones%20Kenia%20OS
Murder In My Mind,Kordhell,1,2022,1,21,2459,20,448843705,20,68,50,0,22,120,A#,Major,71,57,97,1,0,13,11,https://open.spotify.com/search/Murder%20In%20My%20Mind%20Kordhell
Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,10624,17,1357608774,21,0,386,0,,80,G#,Major,63,40,61,9,0,56,6,"https://open.spotify.com/search/Gangsta's%20Paradise%20Coolio,%20L.V."
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26,294352144,52,66,55,1,16,115,F,Minor,95,43,69,47,0,9,31,"https://open.spotify.com/search/CAIRO%20Karol%20G,%20Ovy%20On%20The%20Drums"
I Love You So,The Walters,1,2014,11,28,7536,7,972164968,44,19,135,0,6,76,A#,Major,58,46,67,65,0,13,4,https://open.spotify.com/search/I%20Love%20You%20So%20The%20Walters
Dark Red,Steve Lacy,1,2017,2,20,10431,7,920045682,71,53,181,0,10,172,F#,Major,60,77,78,45,0,12,6,https://open.spotify.com/search/Dark%20Red%20Steve%20Lacy
Say You Won't Let Go,James Arthur,1,2016,9,9,15722,16,2420461338,231,37,"1,509",0,13,99,A#,Major,40,45,56,69,0,9,5,https://open.spotify.com/search/Say%20You%20Won't%20Let%20Go%20James%20Arthur
The Hills,The Weeknd,1,2015,5,27,25744,4,1947371785,122,94,"1,992",0,18,136,,Minor,36,12,57,9,0,14,8,https://open.spotify.com/search/The%20Hills%20The%20Weeknd
Heart To Heart,Mac DeMarco,1,2019,5,10,1640,0,244658767,27,27,29,1,1,150,G#,Minor,90,64,14,67,35,11,10,https://open.spotify.com/search/Heart%20To%20Heart%20Mac%20DeMarco
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992,0,0,0,0,0,92,A#,Minor,71,41,31,79,0,10,5,https://open.spotify.com/search/Peaches%20(from%20The%20Super%20Mario%20Bros.%20Movie)%20Jack%20Black
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,1845,16,223582566,20,8,30,2,0,95,C#,Major,77,72,87,17,0,7,5,"https://open.spotify.com/search/Marisola%20-%20Remix%20Duki,%20NICKI%20NICOLE,%20Cris%20Mj,%20Standly,%20Stars%20Music%20Chile"
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,471819764,72,64,64,6,3,102,B,Minor,83,58,83,21,0,10,5,"https://open.spotify.com/search/LOKERA%20Brray,%20Rauw%20Alejandro,%20Lyanno"
Low,SZA,1,2022,12,9,1911,0,272377463,23,71,14,0,9,145,,Minor,70,34,55,43,0,16,6,https://open.spotify.com/search/Low%20SZA
Numb,Linkin Park,1,2003,3,24,20111,5,1361425037,39,0,"7,341",0,0,110,A,Major,50,24,86,0,0,64,4,https://open.spotify.com/search/Numb%20Linkin%20Park
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,0,149778242,32,18,39,2,0,95,,Major,64,30,77,46,0,38,6,"https://open.spotify.com/search/Tormenta%20(feat.%20Bad%20Bunny)%20Gorillaz,%20Bad%20Bunny"
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,116599790,22,82,8,0,9,94,B,Minor,68,81,82,53,0,9,13,"https://open.spotify.com/search/on%20the%20street%20(with%20J.%20Cole)%20j-hope,%20J.%20Cole"
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4,148469433,11,58,5,0,21,142,G,Major,61,92,91,0,0,26,3,https://open.spotify.com/search/One%20Thing%20At%20A%20Time%20Morgan%20Wallen
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,497225336,108,16,197,3,165,145,F#,Minor,59,20,74,1,0,15,5,"https://open.spotify.com/search/Miss%20You%20Robin%20Schulz,%20Oliver%20Tree"
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,3,3,356,4,88791109,4,20,0,0,0,121,F#,Minor,64,67,80,0,0,36,3,https://open.spotify.com/search/Ainï¿½ï¿½ï¿½t%20Tha%20Morgan%20Wallen
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,3,3,604,6,125917280,22,101,0,0,66,140,D#,Minor,66,43,76,49,0,12,3,https://open.spotify.com/search/Thinkinï¿½ï¿½ï¿½%20B%20Morgan%20Wallen
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,0,105062254,29,3,18,0,19,137,C#,Minor,84,44,67,8,0,11,6,"https://open.spotify.com/search/Private%20Landing%20(feat.%20Justin%20Bieber%20&%20Future)%20Don%20Toliver,%20Future,%20Justin%20Bieber"
Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148,11,54,0,0,103,104,G#,Major,56,72,85,0,0,15,3,https://open.spotify.com/search/Everything%20I%20Love%20Morgan%20Wallen
Heaven,Niall Horan,1,2023,2,17,1553,2,144584800,61,6,48,0,150,92,F,Major,57,68,76,7,0,33,3,https://open.spotify.com/search/Heaven%20Niall%20Horan
LET GO,Central Cee,1,2022,12,15,2301,20,298063749,49,23,110,0,8,146,D,Minor,74,51,45,86,0,21,38,https://open.spotify.com/search/LET%20GO%20Central%20Cee
Sial,Mahalini,1,2023,1,23,134,4,166570053,4,6,0,0,23,120,D,Major,56,20,43,89,0,12,4,https://open.spotify.com/search/Sial%20Mahalini
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0,83021468,15,17,0,0,0,144,D,Major,68,83,81,9,0,8,4,https://open.spotify.com/search/I%20Wrote%20The%20Book%20Morgan%20Wallen
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,0,139836056,11,101,0,0,48,94,A,Major,59,44,56,80,0,6,3,"https://open.spotify.com/search/Apna%20Bana%20Le%20(From%20""Bhediya"")%20Arijit%20Singh,%20Sachin-Jigar"
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,629,14,303216294,32,3,9,0,0,94,G#,Major,73,65,79,5,2,11,6,https://open.spotify.com/search/SPIT%20IN%20MY%20FACE!%20ThxSoMch
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2,2022,12,15,1701,15,221409663,30,15,34,2,47,113,G,Minor,79,66,74,8,0,11,5,"https://open.spotify.com/search/PLAYA%20DEL%20INGLï¿½%20Myke%20Towers,%20Quevedo"
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,329,0,58890931,14,35,1,0,0,148,E,Major,50,49,76,12,0,12,3,"https://open.spotify.com/search/Man%20Made%20A%20Bar%20(feat.%20Eric%20Church)%20Morgan%20Wallen,%20Eric%20Church"
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0,81419389,45,11,20,0,21,98,C#,Major,70,29,73,12,0,11,26,https://open.spotify.com/search/Red%20Ruby%20Da%20Sleeze%20Nicki%20Minaj
Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,162,6,156777415,1,10,1,0,1,140,B,Major,58,26,38,91,0,10,4,https://open.spotify.com/search/Kahani%20Suno%202.0%20Kaifi%20Khalil
Nobody Gets Me,SZA,1,2022,12,9,2536,6,284908316,59,100,58,13,2,100,G,Major,36,28,28,81,0,18,3,https://open.spotify.com/search/Nobody%20Gets%20Me%20SZA
