track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,spotify_url
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384,202,119,318,38,96,107,B,Major,80,82,80,43,0,14,4,"https://open.spotify.com/search/Calm%20Down%20(with%20Selena%20Gomez)%20Rï¿½ï¿½ma,%20Selena%20G"
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,35,109,41,14,211,122,F#,Minor,81,74,71,14,0,56,4,"https://open.spotify.com/search/MOJABI%20GHOST%20Tainy,%20Bad%20Bunny"
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,https://open.spotify.com/search/Last%20Night%20Morgan%20Wallen
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954,0,0,143,38,0,110,B,Minor,67,78,85,2,0,33,5,https://open.spotify.com/search/Dance%20The%20Night%20(From%20Barbie%20The%20Album)%20Dua%20Lipa
Rush,Troye Sivan,1,2023,7,13,864,78,22581161,71,135,50,1,294,126,F,Minor,74,35,84,0,0,11,6,https://open.spotify.com/search/Rush%20Troye%20Sivan
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,20,185,13,8,197,168,F#,Major,56,63,87,39,0,11,5,"https://open.spotify.com/search/TULUM%20Peso%20Pluma,%20Grupo%20Frontera"
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510,113,149,245,23,27,98,C#,Minor,71,17,61,36,0,8,5,"https://open.spotify.com/search/Creepin'%20The%20Weeknd,%2021%20Savage,%20Metro%20Boomin"
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,https://open.spotify.com/search/Anti-Hero%20Taylor%20Swift
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393,115,123,184,18,354,180,E,Minor,72,61,63,67,0,9,28,"https://open.spotify.com/search/TQG%20Karol%20G,%20Shakira"
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413,22,33,34,7,184,120,,Major,81,63,68,11,0,11,4,"https://open.spotify.com/search/Los%20del%20Espacio%20Big%20One,%20Duki,%20Lit%20Killah,%20Maria%20Becerra,%20FMK,%20Rusherking,%20Emilia,%20Tiago%20pzk"
